ID,企画ID,企画名_a,企画名(よみ),企画を出店する団体の名称,企画を出店する団体の名称(よみ),回答作成日時,回答更新日時,企画名,ジャンル,説明文(字数制限なし),団体紹介(字数制限なし),団体公式HP,団体公式Twitter,画像,備考欄,ライブ配信,Youtube,webサイト,link,Instagram,mail
23,119,書道展2020 ー彩ー,しょどうてんにまるにまるいろどり,東京理科大学野田文化会書道部,とうきょうりかだいがくのだぶんかかいしょどうぶ,2020/10/12 21:33,2020/10/12 21:33,書道展2020　ー彩ー,カルチャー,野田書道部です！{{改行}}リモートで頑張って制作した書道作品を展示しています。例年は教室での展示ですが、今年は新たなる試みとしてデジタルとの融合に挑戦しました。{{改行}}今年の展示は3つのテーマで構成されています。{{改行}}【デジタル×書道】{{改行}}　～写真や画像と文字を組み合わせた静止画、動画の作品です。{{改行}}【年賀状デザイン】{{改行}}　～2021年の年賀状デザインを配布しています。無料ダウンロードできます。ぜひ使ってください。{{改行}}【クラシック】{{改行}}　～紙と墨が織りなす、書道本来の白と黒の良さを伝える作品です。{{改行}}是非ご覧ください！,野田キャンパスの書道部です。例年では週2回、講義棟にて活動していますが、今年は各自で作品を制作し、zoomを通して週1回での活動となっています。兼部をしている部員も多く、ゆったりまったりと書道してます。{{改行}}新入部員募集中です！初心者大歓迎です。見学・入部についてのお問い合わせは下記メールアドレスまで。,,@syodou_tus,xEFqmJegXYkNfJCAqJTfDgO7j3DnuidcE5p1RHPs.jpeg,Instagramのアカウントの掲載もお願いします。@syodou_tusメールアドレスの掲載も併せてお願いします。tus.noda.syodou@gmail.com,,true,true,,syodou_tus,tus.noda.syodou@gmail.com
24,106,理系グッズ販売＆何でも相談所(高校生向け),りけいぐっずはんばいあんどなんでもそうだんじょこうこうせいむけ,野田国際コミュニティハウス,のだこくさいこみゅにてぃはうす,2020/10/12 23:29,2020/10/12 23:29,①あつまれ理系！～実用的な理系グッズ～{{改行}}②高校生何でも相談所,カルチャー,①日常にちょっとしたオリジナリティを取り入れたい理系諸君！私たちは理系に誇りを持った人たち向けに理系オリジナルグッズを作りました！この世に一つだけのアイテムを手に入れて毎日を知的に彩りましょう！{{改行}}②理科大なのに千葉にあるって！？家探しから受験の不安まで何でもお任せあれ！私たちがその悩み解決します！,①私たちは季節に合ったイベントや期末試験応援キャンペーンを開催する企画チームです！新歓や七夕、ハロウィンにクリスマス！一年の行事を最大限楽しめるように工夫して活動しています！{{改行}}②私たちは野田国際コミュニティハウスに住んでいる理科大生です！季節に合ったイベントをやったり時にはみんなで課題を教えあったり、、、毎日が楽しく充実しているのはこの国際寮ならではの特権です！理科大に進学が決まったらまず電話するのはこの寮の電話番号！皆さんのキャンパスライフが充実すること間違いなしです！,https://www.gakuseikaikan.com/placehall/shutoken/tokyoeast_chiba/12197/,@RikeiKnock,uGMskxmnkO7v2Gs06yxo9e1jdH3Ml6swu8inJUSx.jpeg,二つの種類の出店をするので①と②で分けさせていただきました。①…理系グッズ販売②…高校生向けの相談会　と書き分けています。②野田国際コミュニティハウスのインスタをぜひパンプレットに載せてほしいです。名前は｛野田国際コミュニティハウス[東京理科大学]}です。リンクはhttps://instagram.com/noda_chです。,true,,true,,noda_ch,
25,109,DOC×錦江町 再リノベコンペ,どっくきんこうちょうさいりのべこんぺ,建築サークルDOC,けんちくさーくるどっく,2020/10/12 23:44,2020/10/12 23:44,Space Delivery,カルチャー,立体音響を用いた空間伝達プロジェクト。あなたのお部屋にひと時の空間をお届けします。,理工学部を起点として、建築について、授業の枠を超えて、イベントや設計、施工などの様々な活動をするサークルです。テーマは「未来の建築を創る」。,https://archcircle-doc.hatenablog.com/,tus_archdoc,FZUusVOewVwcAJ3hGikjP7WH7oiL2l63iUVuRa1G.jpeg,企画名を、申請時のものから「Space Delivery」に変更いたしました。ご確認ください。,,true,,,,
26,201,KOOLGEM,くーるじぇむ,KOOLGEM,くーるじぇむ,,,KOOLGEM,スポーツ武道,,,,,koolgem.jpeg,,true,true,,,,
27,202,GASSES,,GASSES,,,,GASSES,スポーツ武道,,,,,airship.png,,true,,,,,
28,203,和太鼓サークル樹,,和太鼓サークル樹,,,,和太鼓サークル樹,音楽,,,,,airship.png,,true,,,,,
29,204,管弦楽団,,管弦楽団,,,,管弦楽団,音楽,,,,,airship.png,,true,,,,,
30,205,鳥人間サークル鳥科,,鳥人間サークル鳥科,,,,鳥人間サークル鳥科,展示企画,,,,,airship.png,,,true,,,,
31,206,古典ギター同好会,,古典ギター同好会,,,,古典ギター同好会,音楽,,,,,airship.png,,,true,,,,
32,207,あつまれイラ研の森,,イラスト研究会,,,,あつまれイラ研の森,展示企画,,,,,airship.png,,,,true,,,
33,208,漫画読会,,漫画読会,,,,まんどくっ！活動紹介,カルチャー,漫画読会の活動を紹介します！内容は１分くらい。オタクな貴方の琴線に触れるものがきっとあるはず。興味が湧いたら是非まんどくtwitterまで！,漫画読会は毎週金曜日に活動するオタクのサークルです！動画で活動内容を紹介しているので、興味のある方はお気軽にtwitterでお問い合わせください！,,@mandoku_info,mandoku.jpg,,,true,,,,
34,209,RICORA MUSIC TEAM,,RICORA MUSIC TEAM,,,,RICORA's MUSIC 2020,音楽,,,,,airship.png,,,true,,,,
35,210,情報技術クラブ,,情報技術クラブ,,,,情報技術クラブ,展示企画,,,,,airship.png,,,true,true,,,
36,211,大学生×バイクのある生活(NRK),,二輪会,,,,大学生×バイクのある生活(NRK),スポーツ武道,【大学生×バイクのある生活】{{改行}}大学生は人生で1番自由に時間を使って行動できる期間だと思います。何をするのかも本人の自由。その自由な時間をフルに使って、人よりもっと特別な経験したくないですか？{{改行}}バイクに乗れば確実にいろんな体験ができます！電車やバスと違い時間にとらわれず、自分の活動範囲を広げることができます！活動範囲が広がれば、いろんな人・出来事に出会えるチャンスも広がると思います。今回の企画では、現部長の岡田が大学生活で体験してきた記録を違う雰囲気の2本の動画にまとめてみました。ライダーの目線になって、バイク乗りの景色を感じ取っていただけたらと思います。そしてぜひ興味がありましたら、自分たちのサークルに声をかけてもらって、ライダーになるお手伝いをさせてください。よろしくお願いします。,私たちはNRK(二輪会)という名前で活動しています。サークルという形をとっていますが、各々が好きなようにバイクライフを送っています。酷道を走るオフロードレースなどに参加している部員などは、部車でバイクを運び、長野などに遠征して大会に参加したりしています。それ以外にも、バイクのメンテナンスしたり、メンバーを募ってツーリングに行ったり、突発的に深夜に都内に走りに行ったりしています。長期休みでは日本各地を旅してまわってる人もいます。基本的に活動は自由なので特に決まったことはありません。筑波サーキットでのオフィシャル活動(レース進行の仕事)だけは伝統的に行っていることで、歴史あるサーキットでレースを間近で観戦しながらバイトもしています。,,@NRKracing,二輪会.jpg,,,true,,,,
